76,0.187,0,300,37.2,zero,0.008,8.299995422,lake,0.035,30.65748596,-82.16998291,0.019,0.03,zero,low,1.194,10,0.505
110,0.437,0,200,36.3,zero,0.028,4.799999237,lake,0.02,30.70915222,-82.17163086,0.311,0.05,zero,low,1.192,10,0.615
60,0.633,0,200,36.9,zero,0.238,6.299999237,lake,0.026,30.66804504,-82.20690918,0.302,0.041,few,low,1.192,10,0.296
128,0.358,0,175,37.5,one,0.073,6.299999237,lake,0.029,30.98666382,-82.1930542,0.013,0.012,one,low,1.164,5,0.183
99.6,0.386,0,100,82.6,zero,0.107,11.3999939,pond,0.254,44.40719605,-69.8236084,0.011,0.009,one,low,0.883,15,2.89
116,0.435,0,150,37.5,one,0.145,14.19999695,lake,0.059,30.98054504,-82.19580078,0.134,0.049,one,low,1.165,5,0.373
287,1.17,0,10,264.3,zero,0.267,49.79998779,lake,1.756,46.42636108,-84.95831299,0.03,0.317,zero,low,1.211,15,6.91
133.2,0.502,0,5,57.9,zero,0.423,5.299999237,pond,0.18,42.83108521,-71.44439697,0.044,0.583,zero,low,0.974,15,4.392
80,0.55,0,10,237.4,zero,0.432,4.899997711,lake,0.02,46.57165527,-85.73883057,0.01,0.452,zero,low,1.214,15,3.9
753.5,0.584,0,35,791,one,0.166,4.5,lake,0.134,43.62915039,-74.65411377,0.029,0.058,one,low,0.9,30,6.863
282.2,1.207,0,5,572.4,one,0.296,13.09999847,lake,0.146,41.2888794,-75.15966797,0.194,0.67,zero,low,0.825,20,8.158
88.3,0.905,0,5,9.4488,one,0.573,12.29999542,pond,0.068,41.72555542,-70.03521729,0.054,0.208,one,low,0.944,20,6.157
67,0.4,0,15,203.3,zero,0.279,12.29999542,lake,0.068,46.59692383,-85.07495117,0.1,0.251,zero,low,1.24,15,3.57
443,1.38,0,345,337.4,one,0.59,7.599998474,lake,0.13,46.79580689,-91.09442139,0.06,0.177,zero,low,0.869,15,1.4
310,2.491,0,300,19.2,zero,0.523,30,lake,0.292,28.30276489,-81.17358398,0.063,1.04,zero,low,1.376,10,3.25
190.3,1.157,0,10,9.144,zero,0.687,6.099998474,pond,0.147,41.71664429,-70.18884277,0.081,0.472,one,low,0.946,20,9.329
125.7,0.446,0,125,350.8,zero,0.17,11.59999847,pond,0.129,42.66943359,-71.91247559,0.063,0.072,one,low,0.997,20,2.17
638.3,0.507,0,25,812,few,0.065,7.399997711,lake,0.052,43.62081909,-74.62078857,0.045,0.123,one,low,0.9,30,6.624
516.1,0.892,0,15,588.3,few,0.253,51.69998169,lake,3.119,43.92913818,-75.0333252,0.019,0.99,one,low,0.906,30,5.561
354.6,0.974,0,10,603.5,few,0.27,20.69999695,pond,0.211,43.98944092,-75.01831055,0.089,0.591,one,low,0.909,30,6.275
167.7,1.199,0,5,594.4,zero,0.34,212.8999023,lake,4.84,41.16665649,-75.83331299,0.039,0.346,zero,low,0.698,20,7.33
51,1.0925,0,5,2.4,zero,0.8355,14,pond,0.591,41.94442749,-70.0055542,0.034,0.071,zero,low,0.95,20,7.3195
272.2,1.693,0,20,582.2,one,0.321,21.29998779,pond,0.425,43.83331299,-74.79577637,0.055,0.195,one,low,0.907,30,7.035
43,0.7,0,10,501.7,zero,0.4,14.29999542,lake,0.199,45.9624939,-89.35968018,0,0.05,zero,low,0.885,10,4.39
125,1.3,0,25,492,zero,0.6,5.299999237,lake,0.113,45.31109619,-89.04858398,0.024,0,zero,low,0.886,10,3
330,1.52,0,0,690.7,zero,0.42,31.69999695,lake,0.353,41.35830689,-76.32080078,0.1,1.116,one,low,0.7,15,7.78
211.4,0.835,0,100,381,zero,0.398,7.099998474,pond,0.02,42.74581909,-71.93743897,0.456,0.206,zero,low,1.005,20,4.649
120.4,1.12,0,125,523,zero,0.35,7.799999237,lake,0.286,46.19775391,-89.25,0.04,0.031,zero,low,0.885,10,1.99
116,0.505,0,20,47.2,one,0.102,91.69995117,lake,4.17,29.8916626,-82.00970459,0.014,0.112,one,low,1.2,10,3.95
75.3,0.661,0,10,14.0208,zero,0.678,11.8999939,pond,0.221,41.79638672,-70.60357666,0.157,0.288,zero,low,0.952,20,5.577
219.6,1.765,0,200,29.5656,few,0.415,53.59997559,reservoir,0.746,41.8291626,-71.2208252,0.076,0.206,one,low,0.958,20,4.571
42,0.52,0,15,289,one,0.588,6.599998474,lake,0.579,46.5305481,-85.90441895,0.05,0.02,one,low,1.196,15,2.79
172.9,0.68,0,5,178.9176,one,0.232,49.09997559,pond,1.025,41.86248779,-71.79577637,0.029,0.144,one,low,0.96,20,6.132
23,0.64,0,25,275.8,zero,0.34,4.5,lake,0.038,46.3972168,-84.96661377,0.22,0.065,zero,low,1.202,15,2.97
108,0.75,0,20,266.7,one,0.56,15.69999695,lake,0.175,46.51052856,-86.10498047,0.039,0.001,one,low,1.17,15,3.67
10,0.35,0,10,538,zero,0.42,5,lake,0.176,46.04052734,-88.98913574,0.02,0,one,low,0.885,10,3.26
39,0.78,0,15,486.2,zero,0.29,9.099998474,lake,0.182,45.9513855,-89.53051758,0.03,0,zero,low,0.885,10,2.89
34,0.239,0,5,28,zero,0.091,7.799999237,pond,0.355,30.52137756,-85.7041626,0.005,0.017,zero,low,1.357,20,1.75
16,0.6,0,5,266.7,zero,0.326,6.399997711,lake,0.291,46.51998901,-86.05828857,0.06,0.008,zero,low,1.177,15,2.9
76.4,0.781,0,10,48.1584,zero,0.185,10.3999939,pond,0.145,41.50082398,-71.75634766,0.014,0.004,one,low,0.957,20,5.426
20,0.663,0,10,21.6,zero,0.228,7.899997711,lake,0.169,30.55693054,-85.66522217,0.027,0.102,zero,low,1.354,20,2.58
36,4.45,0,35,288,zero,0.48,8.5,lake,0.118,46.56414795,-86.10998535,0.049,0.213,zero,low,1.178,15,2.51
262,1.55,0,130,509.9,zero,0.25,5.899997711,lake,0.082,46.2861023,-90.04577637,0.169,0.124,one,low,0.885,10,3.55
134,1.72,0,20,328.9,few,0.48,89.19995117,lake,1.656,42.61721802,-71.96246338,0,0.013,one,low,1.002,25,6.54
203.4,1.57,0,150,128.3,few,0.411,37.5,pond,0.157,43.07025147,-71.4019165,0.047,0.08,one,low,1.009,15,5.634
16,0.67,0,25,257.6,zero,0.38,5,lake,0.283,46.45166016,-86.18383789,0.019,0.006,zero,low,1.147,15,2.22
39.9,0.754,0,5,17.3736,one,0.653,22.19999695,pond,0.783,41.7583313,-70.85272217,0.01,0.014,few,low,0.954,20,4.36
34,0.76,0,25,275.5,zero,0.469,19.69999695,lake,0.64,46.52999878,-86.0935669,0.06,0.04,zero,low,1.175,15,3.97
38,0.64,0,25,422.2,zero,0.25,5.5,lake,0.043,47.01580811,-88.70831299,0,0,zero,low,0.86,15,3.25
104,0.97,0,115,501.4,zero,0.64,8.799995422,lake,0.274,45.31997681,-89.090271,0.112,0.067,zero,low,0.886,10,2.09
44,0.99,0,40,504.5,zero,0.57,21.79998779,lake,0.243,45.79998779,-89.32495117,0.03,0,zero,low,0.885,10,3.89
49,0.62,0,10,514.8,zero,0.3,6.099998474,lake,0.085,46.14608765,-89.25,0.04,0.139,zero,low,0.885,10,2.78
134,1.499,0,10,545.6,one,0.23,5.899997711,pond,0.192,44.11248779,-74.76385498,0.048,0.126,zero,low,0.915,25,5.987
18,0.79,0,15,515.7,zero,0.38,7.5,lake,0.171,45.8944397,-88.98748779,0.03,0.115,zero,low,0.884,10,3.68
115,0.87,0,30,679.1,one,0.3,7.799999237,pond,0.043,41.3972168,-76.39105225,0.02,0.233,one,low,0.699,15,3.82
339.6,1.404,0,55,521.2,one,0.277,6.699996948,lake,0.218,43.21942139,-74.59161377,0.054,0.04,one,low,0.861,20,5.407
128,1.16,0,10,533.4,one,0.13,63.69998169,lake,0.946,42.02163696,-73.48327637,0.05,0.55,one,low,0.801,20,5.99
10,0.505,0,17.5,259.4,zero,0.388,4.699996948,lake,0.192,46.42749023,-85.77526856,0.16,0.004,zero,low,1.186,15,1.965
29,1.08,0,15,278.9,zero,0.36,7,lake,0.029,46.50692749,-86.24304199,0.139,0.529,zero,low,1.151,15,3.81
97,1.44,0,20,614.2,zero,0.41,9.299995422,lake,0.367,41.43746948,-76.24383545,0.03,0.023,one,low,0.698,15,5.52
354.4,0.925,0,30,612.7,zero,0.229,8,pond,0.093,43.84442139,-71.99249268,0.027,0.032,one,low,1.132,20,4.026
241,1.25,0,40,199.0344,zero,0.65,6.199996948,pond,0.193,41.97137451,-71.7722168,0,0.01,one,low,0.961,20,6.32
59.4,0.769,0,5,29,zero,0.207,4.799999237,pond,0.374,44.05831909,-69.39300537,0.008,0.011,zero,low,0.865,20,3.957
41,0.63,0,20,538.9,zero,0.39,7.199996948,lake,0.541,46.23944092,-89.23327637,0.03,0.042,zero,low,0.885,10,3.28
52.5,1.236,0,5,388.4,zero,0.238,11.59999847,pond,0.393,43.07666016,-72.30554199,0.032,0.041,one,low,1.036,20,5.918
33.9,0.967,0,5,3.6576,zero,0.573,6,pond,0.337,41.6388855,-70.37915039,0.04,0.007,one,low,0.945,20,5.949
195.15,1.763,0,40,29.5656,zero,0.7885,22.69999695,pond,0.958,42.60415649,-70.72943115,0.0165,0.021,one,low,0.959,20,7.453
48.3,1.319,0,35,269.4,few,0.279,51.5,pond,0.502,42.73330689,-72.10412598,0.026,0.052,one,low,1.016,25,4.787
205,1.34,0,65,433.1,zero,0.55,3.899999619,lake,0.299,46.61526489,-88.85998535,0.07,0,zero,low,0.884,15,4.04
90.7,0.739,0,70,120.7008,zero,0.402,23.3999939,pond,0.163,41.59719849,-71.7833252,0.049,0.081,one,low,0.958,20,3.82
139.7,1.288,0,70,327.1,few,0.295,51.3999939,pond,0.429,42.78747559,-72.11663818,0.028,0.03,one,low,1.018,25,4.102
27,0.87,0,15,252.1,zero,0.38,14.69999695,lake,0.239,46.26803589,-86.64746094,0.03,0.032,zero,low,1.011,15,2.53
145,3.014,0,30,35.4,one,0.487,13.59999847,lake,0.095,27.43499756,-81.51245117,0.017,0.036,one,low,1.461,10,13
67.5,0.859,0,5,389.5,zero,0.108,7.5,pond,0.285,45.3430481,-69.52136231,0.034,0.092,one,low,0.992,25,4.218
51,0.601,0,10,25.9,zero,0.479,92.19995117,lake,2.738,29.03665161,-81.89385986,0.009,0,zero,low,1.206,5,5.68
196,1.65,0,100,516.6,zero,0.5,10.3999939,lake,0.574,46.2236023,-89.66772461,0.03,0.141,zero,low,0.885,10,3.64
399,1.71,0,210,344.4,zero,0.55,4.199996948,lake,0.148,46.45776367,-91.72412109,0.18,0.231,one,low,0.856,10,2.73
82,1.79,0,10,593.1,zero,0.18,8.099998474,pond,0.173,41.93887329,-74.58746338,0.03,0.034,one,low,0.762,25,5.98
23,0.73,0,35,506.6,zero,0.23,6.699996948,lake,0.124,46.05331421,-89.56665039,0.01,0,zero,low,0.885,10,1.98
103.1,1.48,0,10,672.7,one,0.061,12.8999939,lake,0.64,43.44165039,-74.06109619,0.033,0.089,one,low,0.887,20,6.432
20,0.47,0,10,396.9,zero,0.3,6.299999237,lake,0.304,46.98721314,-88.80023193,0,0,zero,low,0.862,15,2.29
95,0.75,0,55,491,zero,0.34,11.3999939,lake,0.127,45.90692139,-89.35827637,0.01,0,zero,low,0.885,10,2.67
30,0.89,0,15,34.4424,zero,0.6,9.099998474,pond,0.072,41.9111023,-70.7041626,0.02,0,one,low,0.955,20,7.5
29,0.95,0,15,484.3,zero,0.46,20.69999695,lake,0.644,45.79165649,-89.64440918,0,0.023,zero,low,0.885,10,4.04
143,1.09,0,140,351.7,one,0.52,11.3999939,lake,0.159,46.3430481,-91.61663818,0.094,0.444,zero,low,0.866,10,1.65
