normal,510,yes,no,131.4,78,219.7,106,155.7,103,11.1,2,True
old,408,no,no,178.7,114,271,96,245.9,94,16.4,5,False
old,415,no,no,233.4,71,296.4,76,276.9,103,10.3,1,True
old,408,no,no,202,126,163.5,86,195.4,84,10.4,6,False
old,415,no,no,335.5,77,212.5,109,265,132,12.7,8,True
normal,415,no,no,174.1,127,176.8,73,240,111,10.7,3,False
new,510,no,yes,153.1,115,185.9,59,224.3,102,10,1,True
normal,415,no,yes,172.3,116,266.2,91,228.2,90,11.8,5,False
normal,415,yes,no,99.6,108,308.7,102,161.2,62,13.7,6,True
old,408,no,no,216.7,30,144.3,125,135.3,106,10.8,1,False
new,510,no,no,228.1,121,276.5,79,279.8,77,9.9,5,True
old,415,no,no,128.6,92,191.7,61,121.7,117,12.4,9,False
normal,510,no,no,129.2,71,214.1,68,214.9,100,10.3,4,True
old,510,no,no,158.7,84,181.7,91,177.3,67,7.7,10,False
old,510,no,no,123.1,88,213.9,84,184.9,88,12,2,True
normal,408,no,no,129.5,104,194,133,287.9,65,7.2,7,False
old,415,yes,no,169.5,117,212,111,204,120,9.7,1,True
normal,415,no,no,189.8,111,197.3,101,234.5,111,14.9,3,False
normal,408,no,no,177.4,102,215.2,123,132.4,120,6.6,4,True
normal,415,no,no,68.8,124,168.1,106,281.7,96,9.8,5,False
old,408,no,no,287.1,108,178.4,125,153.2,98,14.4,2,True
normal,415,no,no,190.7,111,241.6,103,278.1,95,4.4,3,False
old,408,no,no,185.6,115,174.8,83,188.2,122,6.7,4,True
old,408,no,yes,219.6,99,210.4,99,242.7,88,13.8,8,False
old,408,no,no,260.1,101,256.5,68,229.1,89,10,2,True
old,510,no,no,129.5,94,92.6,96,154.3,110,9.9,5,False
normal,415,yes,no,165.5,84,286.2,112,198.9,89,11.5,2,True
normal,510,no,no,191,88,318.8,119,247.3,79,6.5,4,False
normal,510,no,yes,129.4,120,159.8,68,214.4,83,12.6,4,True
old,415,no,yes,128.8,104,157.3,52,147.4,76,10.3,2,False
old,408,no,no,297.2,113,188.8,114,188.9,100,12.4,6,True
normal,510,no,no,210.2,95,191.2,87,150.8,111,9.4,3,False
normal,408,no,no,136.9,120,180.6,84,172.9,94,11.9,4,True
